feature,importance
adt_apr,0.24761843500338157
mean_adt_jan_sep,0.23998340515009145
adt_may,0.15830419203047932
adt_jun,0.12188862756247303
adt_sep,0.09550768632234245
adt_mar,0.09026115618774268
adt_jul,0.03198789214486812
adt_aug,0.006523769930344879
adt_jan,0.004713966631297391
adt_feb,0.0028456793329837966
summer_peak_ratio,0.00010729805657930561
canton_code,9.014912238840015e-05
winter_depression_ratio,8.20715715937751e-05
weekday_weekend_ratio,7.76219554485041e-05
is_romandy_int,7.105882038882237e-06
road_type_code,9.431159465114112e-07
hgv_pct_jul,0.0
